name;size
TV Studio Story;0.13
UNO;2.35
Upin & Ipin Universe;4.71
Venture Towns;0.24
Wild Park Manager;0.18
World Cruise Story;0.24
Xenoblade Chronicles 2;16.92
Xenoblade Chronicles 3;18.75
"Xenoblade Chronicles X; Definitive Edition";13.86
"Xenoblade Chronicles; Definitive Edition";13.71
Zoo Park Story;0.14
